method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
fdnc,fDNC,4,islet_20170202,42,6,islet_20170202__gap60m__p006,140,0.8357142857142857,1.0,0.9142857142857141,0.9714285714285714,1.0
fdnc,fDNC,4,islet_20170202,42,7,islet_20170202__gap60m__p007,140,0.8642857142857143,1.0,0.9321428571428572,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,8,islet_20170202__gap60m__p008,140,0.9214285714285714,1.0,0.9595238095238096,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,9,islet_20170202__gap60m__p009,140,0.9428571428571428,1.0,0.9702380952380951,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,10,islet_20170202__gap60m__p010,140,0.9142857142857143,1.0,0.9571428571428572,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,11,islet_20170202__gap60m__p011,140,0.9071428571428571,1.0,0.9523809523809522,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,12,islet_20170202__gap60m__p012,140,0.8785714285714286,1.0,0.9369047619047618,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,0,islet_20170216__gap60m__p000,122,0.8442622950819673,1.0,0.9207650273224043,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,1,islet_20170216__gap60m__p001,122,0.9016393442622951,1.0,0.9508196721311475,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,2,islet_20170216__gap60m__p002,122,0.9508196721311475,1.0,0.9754098360655737,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,3,islet_20170216__gap60m__p003,122,0.9098360655737705,1.0,0.9535519125683061,0.9672131147540983,1.0
fdnc,fDNC,5,islet_20170216,42,4,islet_20170216__gap60m__p004,122,0.9262295081967213,1.0,0.9617486338797815,0.9672131147540983,1.0
fdnc,fDNC,5,islet_20170216,42,5,islet_20170216__gap60m__p005,122,0.9098360655737705,1.0,0.953551912568306,0.9672131147540983,1.0
fdnc,fDNC,5,islet_20170216,42,6,islet_20170216__gap60m__p006,122,0.9262295081967213,1.0,0.9617486338797814,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,7,islet_20170216__gap60m__p007,122,0.9344262295081968,1.0,0.9672131147540983,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,8,islet_20170216__gap60m__p008,122,0.9672131147540983,1.0,0.9836065573770492,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,9,islet_20170216__gap60m__p009,122,0.8770491803278688,1.0,0.9385245901639344,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,10,islet_20170216__gap60m__p010,122,0.9262295081967213,1.0,0.9631147540983607,1.0,1.0
fdnc,fDNC,5,islet_20170216,42,11,islet_20170216__gap60m__p011,122,0.9344262295081968,1.0,0.9672131147540983,1.0,1.0
fdnc,fDNC,6,lineage_20160328,42,0,lineage_20160328__gap60m__p000,114,0.5789473684210527,1.0,0.75906432748538,0.8947368421052632,1.0
fdnc,fDNC,6,lineage_20160328,42,1,lineage_20160328__gap60m__p001,114,0.6929824561403509,1.0,0.8263157894736842,0.8771929824561403,1.0
fdnc,fDNC,6,lineage_20160328,42,2,lineage_20160328__gap60m__p002,114,0.7280701754385965,1.0,0.8431286549707602,0.9122807017543859,1.0
fdnc,fDNC,6,lineage_20160328,42,3,lineage_20160328__gap60m__p003,116,0.8620689655172413,1.0,0.9274425287356322,0.9310344827586207,1.0
fdnc,fDNC,6,lineage_20160328,42,4,lineage_20160328__gap60m__p004,118,0.8389830508474576,1.0,0.9152542372881355,0.9745762711864406,1.0
fdnc,fDNC,6,lineage_20160328,42,5,lineage_20160328__gap60m__p005,120,0.8916666666666667,1.0,0.9402777777777778,1.0,1.0
fdnc,fDNC,6,lineage_20160328,42,6,lineage_20160328__gap60m__p006,120,0.9,1.0,0.9479166666666666,1.0,1.0
fdnc,fDNC,6,lineage_20160328,42,7,lineage_20160328__gap60m__p007,122,0.8770491803278688,1.0,0.9360655737704918,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,0,lineage_20170111__gap60m__p000,178,0.8089887640449438,1.0,0.8993445692883897,1.0,1.0
