method,kind,severity,fold,perturbation_replicates,top1,top5,hungarian,coverage,effective_top1
fDNC,missing,0.3,4,3,0.64002574002574,0.9375375375375375,0.6479622479622479,0.6785714285714285,0.43452380952380953
fDNC,missing,0.4,0,3,0.3213854382332643,0.919125258799172,0.3461870255348516,0.5887445887445887,0.19047619047619044
fDNC,missing,0.4,1,3,0.389554794520548,0.771697108066971,0.4067770167427702,0.5547445255474454,0.2165450121654501
fDNC,missing,0.4,2,3,0.26507276507276506,0.7514107514107513,0.2487377487377487,0.5724137931034483,0.15172413793103448
fDNC,missing,0.4,3,3,0.5808760683760683,0.9866666666666667,0.6596581196581197,0.5952380952380952,0.3452380952380952
fDNC,missing,0.4,4,3,0.5833333333333334,0.9340852130325814,0.5952380952380952,0.6011904761904762,0.3452380952380952
fDNC,missing,0.5,0,3,0.33325343081440645,0.9193716998595048,0.3947717118448826,0.4805194805194805,0.16017316017316016
fDNC,missing,0.5,1,3,0.40292197091418447,0.80356260042022,0.4394285831994397,0.4671532846715329,0.18491484184914841
fDNC,missing,0.5,2,3,0.27898900250819986,0.7714965592642614,0.2422020708727249,0.4942528735632184,0.1379310344827586
fDNC,missing,0.5,3,3,0.5707915273132665,0.976960237829803,0.6352657004830918,0.5198412698412699,0.29761904761904767
fDNC,missing,0.5,4,3,0.518007662835249,0.9428845101258894,0.551696770662288,0.5178571428571428,0.26785714285714285
fDNC,outlier,0.0,0,1,0.2857142857142857,0.9090909090909091,0.42857142857142855,1.0,0.2857142857142857
fDNC,outlier,0.0,1,1,0.40145985401459855,0.8102189781021898,0.3795620437956204,1.0,0.40145985401459855
fDNC,outlier,0.0,2,1,0.32413793103448274,0.7724137931034483,0.33793103448275863,1.0,0.32413793103448274
fDNC,outlier,0.0,3,1,0.5476190476190477,0.9761904761904762,0.6785714285714286,1.0,0.5476190476190477
fDNC,outlier,0.0,4,1,0.6964285714285714,0.9642857142857143,0.75,1.0,0.6964285714285714
fDNC,outlier,0.1,0,3,0.2597402597402597,0.8744588744588745,0.42424242424242425,1.0,0.2597402597402597
fDNC,outlier,0.1,1,3,0.3625304136253041,0.8637469586374696,0.3722627737226278,1.0,0.3625304136253041
fDNC,outlier,0.1,2,3,0.2873563218390805,0.7172413793103448,0.3080459770114942,1.0,0.2873563218390805
fDNC,outlier,0.1,3,3,0.5317460317460317,0.9761904761904762,0.6150793650793651,1.0,0.5317460317460317
fDNC,outlier,0.1,4,3,0.6309523809523809,0.9583333333333334,0.6666666666666666,1.0,0.6309523809523809
fDNC,outlier,0.2,0,3,0.2510822510822511,0.8528138528138528,0.37662337662337664,1.0,0.2510822510822511
fDNC,outlier,0.2,1,3,0.3284671532846715,0.8004866180048662,0.3576642335766424,1.0,0.3284671532846715
fDNC,outlier,0.2,2,3,0.271264367816092,0.6689655172413792,0.3126436781609196,1.0,0.271264367816092
fDNC,outlier,0.2,3,3,0.44841269841269843,0.9603174603174603,0.5476190476190476,1.0,0.44841269841269843
fDNC,outlier,0.2,4,3,0.6190476190476191,0.9702380952380952,0.6964285714285715,1.0,0.6190476190476191
fDNC,outlier,0.3,0,3,0.20779220779220778,0.8311688311688311,0.3116883116883117,1.0,0.20779220779220778
fDNC,outlier,0.3,1,3,0.31630170316301703,0.781021897810219,0.3527980535279805,1.0,0.31630170316301703
fDNC,outlier,0.3,2,3,0.22758620689655173,0.6367816091954023,0.25057471264367814,1.0,0.22758620689655173
fDNC,outlier,0.3,3,3,0.4444444444444445,0.9563492063492064,0.5476190476190477,1.0,0.4444444444444445
fDNC,outlier,0.3,4,3,0.6011904761904762,0.9642857142857143,0.6904761904761904,1.0,0.6011904761904762
fDNC,outlier,0.4,0,3,0.18614718614718617,0.8095238095238096,0.26406926406926406,1.0,0.18614718614718617
fDNC,outlier,0.4,1,3,0.3017031630170316,0.781021897810219,0.3527980535279805,1.0,0.3017031630170316
fDNC,outlier,0.4,2,3,0.19999999999999998,0.5954022988505746,0.2597701149425287,1.0,0.19999999999999998
fDNC,outlier,0.4,3,3,0.4365079365079365,0.9801587301587302,0.5793650793650794,1.0,0.4365079365079365
fDNC,outlier,0.4,4,3,0.4523809523809524,0.9583333333333334,0.5297619047619048,1.0,0.4523809523809524
