setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
no_dustbin_forced,0.3,4,3,0.582766439909297,0.582766439909297,0.0,0.0,
no_dustbin_forced,0.4,0,3,0.43950617283950616,0.43950617283950616,0.0,0.0,
no_dustbin_forced,0.4,1,3,0.5939597315436241,0.5939597315436241,0.0,0.0,
no_dustbin_forced,0.4,2,3,0.5362318840579711,0.5362318840579711,0.0,0.0,
no_dustbin_forced,0.4,3,3,0.561936936936937,0.561936936936937,0.0,0.0,
no_dustbin_forced,0.4,4,3,0.564625850340136,0.564625850340136,0.0,0.0,
no_dustbin_forced,0.5,0,3,0.4197530864197531,0.4197530864197531,0.0,0.0,
no_dustbin_forced,0.5,1,3,0.5727069351230425,0.5727069351230425,0.0,0.0,
no_dustbin_forced,0.5,2,3,0.5217391304347826,0.5217391304347826,0.0,0.0,
no_dustbin_forced,0.5,3,3,0.543918918918919,0.543918918918919,0.0,0.0,
no_dustbin_forced,0.5,4,3,0.5385487528344671,0.5385487528344671,0.0,0.0,

