identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
SMDDL,0.6368005634608942,0.6117840306872628,0.025016532773631375,0.01339582184997802,210,15,45,0.3777777777777777
SMDDR,0.6207472407724771,0.6075638066418811,0.013183434130596135,0.01279260802803233,156,13,39,0.1282051282051282
SMDVL,0.8318901720523492,0.8131201111920529,0.01877006086029637,0.01738146693015169,1122,34,102,0.8333333333333334
SMDVR,0.8138676507295822,0.7951034708072996,0.018764179922282773,0.019953941351645466,702,27,81,0.7160493827160493
URADL,0.8917906839350834,0.8692685735653042,0.022522110369779105,0.02294028548403565,306,18,54,0.7592592592592593
URADR,0.8801723296857392,0.8557365458060541,0.024435783879685046,0.023440647275373483,56,8,24,0.8333333333333334
URAVL,0.8168844982070803,0.7962932901653912,0.020591208041689065,0.009814264235792458,210,15,45,0.6222222222222222
URAVR,0.6272496341258973,0.6615319191655764,-0.03428228503967904,-0.017298769310376383,12,4,12,0.0
URBL,0.8272876686182077,0.8146362300620634,0.0126514385561444,0.010016302841223512,992,32,96,0.78125
URBR,0.8529810511588051,0.838042611002009,0.014938440156796169,0.011953149305478084,506,23,69,0.6666666666666666
URXL,0.8489576747301986,0.8311681060559355,0.017789568674263158,0.018313507823558617,1122,34,102,0.7352941176470589
URXR,0.8289168323711493,0.8078558421212773,0.02106099024987199,0.01822266842921283,870,30,90,0.5777777777777777
URYDL,0.8621214702572821,0.8471866631903431,0.014934807066938996,0.014654242732629885,812,29,87,0.7816091954022989
URYDR,0.864942643943272,0.8487397463119164,0.01620289763135565,0.01650369299073956,420,21,63,0.7936507936507936
URYVL,0.8438370086529061,0.8189593625724205,0.024877646080485507,0.01723444741138619,1056,33,99,0.898989898989899
URYVR,0.8163375871723056,0.7946922592296132,0.021645327942692486,0.01659769720818366,870,30,90,0.8
VB02,0.903315578829477,0.8898290650094363,0.013486513820040666,0.01277298213278355,342,19,57,0.5087719298245614
