candidate_identity,candidate_similarity,is_spatial_hard,mode,query_identity,same_minus_candidate,same_similarity
NSML,0.0032784713368490576,False,Geometry,ADAL,0.005042503344387312,0.00832097468123637
M4,0.025305843450833868,False,Geometry,ADAL,-0.016984868769597497,0.00832097468123637
M3R,0.019130555858118164,False,Geometry,ADAL,-0.010809581176881794,0.00832097468123637
M3L,0.018605522032828295,False,Geometry,ADAL,-0.010284547351591925,0.00832097468123637
IL2VL,0.0231972103277371,False,Geometry,ADAL,-0.014876235646500731,0.00832097468123637
IL1R,0.060662848927873575,False,Geometry,ADAL,-0.05234187424663721,0.00832097468123637
OLLL,0.07090875600591005,False,Geometry,ADAL,-0.06258778132467369,0.00832097468123637
IL2L,0.06405482856532743,False,Geometry,ADAL,-0.055733853884091064,0.00832097468123637
URBR,0.07787971766194196,False,Geometry,ADAL,-0.06955874298070559,0.00832097468123637
OLLR,0.08793557080405193,False,Geometry,ADAL,-0.07961459612281556,0.00832097468123637
IL1DL,0.09120801867292133,False,Geometry,ADAL,-0.08288704399168496,0.00832097468123637
IL1DR,0.10001178566009024,False,Geometry,ADAL,-0.09169081097885387,0.00832097468123637
URYVR,0.0750472016750165,False,Geometry,ADAL,-0.06672622699378013,0.00832097468123637
IL2R,0.0709295977122656,False,Geometry,ADAL,-0.06260862303102924,0.00832097468123637
URYDL,0.09611176796729491,False,Geometry,ADAL,-0.08779079328605854,0.00832097468123637
IL1L,0.07428741201906434,False,Geometry,ADAL,-0.06596643733782798,0.00832097468123637
URBL,0.09503266591755168,False,Geometry,ADAL,-0.08671169123631531,0.00832097468123637
OLQDR,0.13148815886696572,False,Geometry,ADAL,-0.12316718418572935,0.00832097468123637
OLQDL,0.12965361913841683,False,Geometry,ADAL,-0.12133264445718046,0.00832097468123637
RMER,0.11912735817627025,False,Geometry,ADAL,-0.11080638349503388,0.00832097468123637
OLQVR,0.10526344341999563,False,Geometry,ADAL,-0.09694246873875927,0.00832097468123637
