candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
RMDL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.04990699031472695
AIBR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.03860663776051208
ASGR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.020988769371863402
AVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.02418694192784163
AVEL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.0008752707689849246
ASGL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.0204121523808475
ASHL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.0460373620423597
AIBL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.050911217576911326
AVHL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.07452786384174509
AWBL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.08594566937435912
RIVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.06720428694452718
AWCL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.10004918310311135
SMDDL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,-0.13669027036461928
