identity,same_similarity,hard_similarity,activity_relation_margin,median_margin,n_animal_pairs,support_animals,n_paired_queries,accuracy_full,accuracy_wo_activity,accuracy_gain_pp
RIH,0.19051205046745606,0.01299963822913286,0.17751241223832326,0.181034134830751,506,23,23,0.5652173913043478,0.2608695652173913,30.43478260869565
RIML,0.6989329652669566,-0.13125210282281713,0.8301850680897738,0.7968378433724157,132,12,12,0.9166666666666666,0.08333333333333333,83.33333333333333
RIMR,0.6963220922573079,0.08741102065668911,0.6089110716006189,0.5959320551360547,132,12,12,1.0,0.16666666666666666,83.33333333333334
RIR,0.1973365938997736,0.09999472280560323,0.09734187109417036,0.06682556255125588,20,5,5,0.6,0.0,60.0
RIS,0.013547533159582108,0.017736917329647384,-0.004189384170065298,0.03645462832858349,56,8,8,0.0,0.0,0.0
RIVL,0.4013947839502722,-0.03068913170510118,0.43208391565537335,0.4323807929518578,1260,36,36,0.8888888888888888,0.5277777777777778,36.11111111111111
RIVR,0.4917172249349656,0.08351192102010367,0.4082053039148619,0.3966080448781754,702,27,27,0.8888888888888888,0.37037037037037035,51.85185185185185
RMDDL,0.30228639969568016,-0.018859139973712996,0.3211455396693932,0.3258760077824828,812,29,29,0.7931034482758621,0.5172413793103449,27.586206896551722
RMDDR,0.2486746439347099,0.00767207794005955,0.2410025659946504,0.25705360651752185,870,30,30,0.7,0.4666666666666667,23.33333333333333
RMDL,0.3809027007796729,0.2146586701106396,0.1662440306690333,0.1613160835502891,1056,33,33,0.9090909090909091,0.5151515151515151,39.39393939393939
RMDR,0.3720176659404685,0.22559201563067244,0.14642565030979607,0.15952140148500868,420,21,21,0.7142857142857143,0.3333333333333333,38.0952380952381
RMDVL,0.20962268774391024,-0.03612217634953482,0.24574486409344504,0.2713675853763343,930,31,31,0.9354838709677419,0.6451612903225806,29.032258064516125
RMDVR,0.3175363161074913,0.09481938575175856,0.22271693035573284,0.2362879547290113,992,32,32,0.90625,0.65625,25.0
RMED,0.6559540622250857,0.20355350868222424,0.4524005535428615,0.4224361199726674,132,12,12,1.0,0.4166666666666667,58.33333333333333
RMEL,0.4718471166019851,0.08603595047719803,0.3858111661247871,0.3921885454150867,1056,33,33,0.8787878787878788,0.42424242424242425,45.45454545454545
RMER,0.6032180822988311,0.1032555816914567,0.4999625006073745,0.491890973295452,1260,36,36,0.9444444444444444,0.6388888888888888,30.555555555555557
RMEV,0.364739584403194,-0.12126726167510912,0.4860068460783031,0.5293290853059311,342,19,19,0.6842105263157895,0.15789473684210525,52.63157894736843
RMFL,-0.09772487745057627,0.026760063049828,-0.12448494050040425,-0.21513961488725405,12,4,4,0.0,0.0,0.0
RMGL,0.4826069469665266,0.00982668607915812,0.4727802608873685,0.4817035777791696,342,19,19,0.8421052631578947,0.5789473684210527,26.315789473684205
SAADL,0.14695478205553344,-0.00186130289205622,0.14881608494758966,0.1296808775004753,56,8,8,0.0,0.0,0.0
SAADR,0.0013308277401990981,-0.015826408647504755,0.017157236387703858,0.018119071924983764,90,10,10,0.1,0.0,10.0
SAAVL,0.32577926121821743,-0.03145857688504762,0.35723783810326504,0.3767696401002182,342,19,19,0.6842105263157895,0.3684210526315789,31.578947368421055
SAAVR,0.4630129418974275,0.14208205948453567,0.32093088241289186,0.322542387377153,110,11,11,0.45454545454545453,0.5454545454545454,-9.090909090909088
SIBDR,0.536526358222893,0.3755897576392897,0.1609366005836032,0.1609366005836032,2,2,1,0.0,0.0,0.0
SMBDL,0.5420816047572155,0.22082378997854984,0.3212578147786656,0.3212578147786656,2,2,2,0.0,0.0,0.0
SMBDR,-0.021053188199323697,0.05299653358671582,-0.07404972178603951,-0.3024987439532423,20,5,5,0.0,0.0,0.0
SMBVL,-0.017300944430789673,0.05519782455512798,-0.07249876898591767,-0.3698808553450266,6,3,2,0.0,0.0,0.0
SMBVR,0.10559371013305333,0.10984671330243877,-0.0042530031693854605,0.07143067037127124,42,7,7,0.2857142857142857,0.14285714285714285,14.285714285714285
SMDDL,0.14202338533017228,0.02965876103889972,0.11236462429127254,0.12606242669920412,210,15,15,0.3333333333333333,0.0,33.33333333333333
SMDDR,0.07993366530097197,0.00855090530563785,0.07138275999533412,0.09594831327932464,156,13,13,0.07692307692307693,0.07692307692307693,0.0
SMDVL,0.28495503502191644,0.036758975184091366,0.2481960598378251,0.27145706519807833,1122,34,34,0.8235294117647058,0.4117647058823529,41.17647058823529
SMDVR,0.2813043719006277,0.032056314576716746,0.2492480573239109,0.2939665589104507,702,27,27,0.7037037037037037,0.3333333333333333,37.03703703703704
URADL,0.5055492122806559,0.04704920853331648,0.4585000037473394,0.4232372227023469,306,18,18,0.8888888888888888,0.3333333333333333,55.55555555555556
URADR,0.4349227961241909,-0.029605946579023913,0.4645287427032148,0.4380302964765569,56,8,8,0.75,0.5,25.0
URAVL,0.3042750576246882,0.054003670088328126,0.2502713875363601,0.25671787634063825,210,15,15,0.6666666666666666,0.0,66.66666666666666
URAVR,0.3959285645536727,0.07506505328401587,0.32086351126965673,0.2902900327145864,12,4,4,0.0,0.0,0.0
URBL,0.4170458792797123,0.1754568375687198,0.2415890417109925,0.23883202023653266,992,32,32,0.78125,0.28125,50.0
URBR,0.2833912779816182,0.18338008879529305,0.10001118918632516,0.09530620430445684,506,23,23,0.6086956521739131,0.17391304347826086,43.47826086956522
URXL,0.3100283310821498,0.20514038770213974,0.10488794338001003,0.12403851977995592,1122,34,34,0.7647058823529411,0.5882352941176471,17.647058823529406
URXR,0.2694015361463426,0.22167316788063848,0.04772836826570414,0.06851661301652756,870,30,30,0.5666666666666667,0.4666666666666667,9.999999999999998
URYDL,0.24547462877865456,0.044455342592997375,0.2010192861856573,0.2521623598454872,812,29,29,0.7931034482758621,0.41379310344827586,37.931034482758626
URYDR,0.2587476306845481,0.08922130681104437,0.1695263238735038,0.19130391771047486,420,21,21,0.8095238095238095,0.38095238095238093,42.85714285714286
URYVL,0.4620169677503884,-0.07588957244970376,0.5379065402000922,0.5312091510776396,1056,33,33,0.9393939393939394,0.24242424242424243,69.6969696969697
URYVR,0.32176077315557416,-0.07534541465372081,0.39710618780929496,0.41549779257890895,870,30,30,0.7333333333333333,0.3,43.33333333333333
VB02,0.4396167308976666,0.13395540170546075,0.30566132919220595,0.2913343637747122,342,19,19,0.631578947368421,0.5789473684210527,5.263157894736836
